emp_id,designation,start_date,end_date,salary
7175690919,F,1709252195,1712452956.0,399623
7175690919,F,1712452956,1712921833.0,399868
7175690919,F,1712921833,,399868
3345338467,F,1709250751,1709980482.0,399647
3345338467,F,1709980482,1712461735.0,399755
3345338467,F,1712461735,1712571842.0,399961
3345338467,F,1712571842,,399961
4047753983,E,1705483642,1711639141.0,262622
4047753983,E,1711639141,,262622
5551916669,F,1709251115,1712167913.0,399792
5551916669,F,1712167913,,399792
6533954001,F,1709222780,1709806019.0,399704
6533954001,F,1709806019,1711206323.0,399738
6533954001,F,1711206323,1712401880.0,399823
6533954001,F,1712401880,,399823
7170426383,F,1709250686,1709917627.0,399982
7170426383,F,1709917627,1709943333.0,399989
7170426383,F,1709943333,,399989
3755067549,F,1709250218,1710941990.0,399964
3755067549,F,1710941990,,399964
272449155,F,1709020114,1712524270.0,399981
272449155,F,1712524270,1712845504.0,399992
272449155,F,1712845504,,399992
2903567372,E,1693534291,1694769342.0,396187
2903567372,E,1694769342,,396187
4397504229,F,1667854065,1709032726.0,385686
4397504229,F,1709032726,1710349472.0,396810
4397504229,F,1710349472,1711055570.0,398041
4397504229,F,1711055570,,398041
9377894070,D,1702584126,1706251709.0,375300
9377894070,E,1706251709,1709382150.0,378734
9377894070,E,1709382150,1709797782.0,397276
9377894070,E,1709797782,,397276
6334791929,F,1709251170,1711235552.0,396380
6334791929,F,1711235552,1711517462.0,396613
6334791929,F,1711517462,1712672567.0,397392
6334791929,F,1712672567,,397392
9154542239,F,1709249250,1710325129.0,398309
9154542239,F,1710325129,,398309
8596430592,F,1709250627,1711266365.0,396977
8596430592,F,1711266365,1711641719.0,397880
8596430592,F,1711641719,,397880
7471249507,F,1708811954,1709847717.0,397684
7471249507,F,1709847717,1712445647.0,398677
7471249507,F,1712445647,1713065289.0,399501
7471249507,F,1713065289,,399501
5730994309,F,1709144594,1712382620.0,399369
5730994309,F,1712382620,,399369
6437452470,E,1707509990,1709406136.0,399965
6437452470,E,1709406136,1711258667.0,399991
6437452470,F,1711258667,1711497740.0,399996
6437452470,F,1711497740,,399996
1260589765,F,1709197560,1711856079.0,399985
1260589765,F,1711856079,1712310850.0,399989
1260589765,F,1712310850,,399989
8030748387,F,1709171635,1709584282.0,397520
8030748387,F,1709584282,,397520
